hour,dispatch_date,lat,lng,crime
5.0,2024-01-07,39.92328314,-75.16265119,Thefts
16.0,2024-01-22,39.96041373,-75.23384182,Thefts
19.0,2024-04-03,39.96700198,-75.16968195,Thefts
17.0,2024-04-17,39.96700198,-75.16968195,Thefts
17.0,2024-04-15,39.96700198,-75.16968195,Thefts
18.0,2024-03-20,,,Thefts
21.0,2024-08-19,,,Thefts
15.0,2024-08-20,,,Thefts
16.0,2024-08-20,,,Thefts
15.0,2024-07-27,39.96136691,-75.14533147,Thefts
9.0,2024-06-14,39.9984177,-75.10127142,Thefts
3.0,2024-07-12,39.95708408,-75.14014652,Theft from Vehicle
0.0,2024-05-25,39.95649971,-75.19032766,Thefts
21.0,2024-06-01,,,Aggravated Assault Firearm
17.0,2024-07-08,40.03956736,-75.15127866,Aggravated Assault Firearm
11.0,2024-05-14,39.96653745,-75.2327558,Thefts
19.0,2024-01-21,39.94014247,-75.15171838,Thefts
13.0,2024-05-30,40.07025714,-75.03068309,Thefts
12.0,2024-07-05,40.00026111,-75.16392568,Aggravated Assault Firearm
16.0,2024-02-16,40.01692921,-75.08416294,Robbery No Firearm
8.0,2024-07-26,39.94693215,-75.16676269,Thefts
13.0,2024-07-29,39.94693215,-75.16676269,Thefts
19.0,2024-05-12,39.99649622,-75.11537752,Thefts
13.0,2024-07-19,39.94693215,-75.16676269,Thefts
19.0,2024-08-13,40.04382946,-75.01793843,Thefts
4.0,2024-01-14,,,Burglary Residential
13.0,2024-01-12,,,Burglary Non-Residential
13.0,2024-05-16,39.96000676,-75.22486807,Robbery No Firearm
10.0,2024-01-20,39.96143129,-75.1563486,Thefts
7.0,2024-03-19,39.95376797,-75.20937854,Thefts
9.0,2024-01-04,39.95992014,-75.23715707,Theft from Vehicle
17.0,2024-05-18,39.95741708,-75.14408008,Theft from Vehicle
11.0,2024-06-22,39.94773687,-75.1627636,Thefts
11.0,2024-05-18,40.07406532,-75.0842622,Aggravated Assault No Firearm
9.0,2024-07-15,39.94738056,-75.22888006,Thefts
8.0,2024-01-08,40.08177567,-75.04274475,Theft from Vehicle
11.0,2024-08-18,39.94738056,-75.22888006,Thefts
8.0,2024-03-12,40.0036809,-75.16617542,Thefts
17.0,2024-06-08,39.95185031,-75.16813922,Thefts
22.0,2024-08-11,39.99263584,-75.12029104,Aggravated Assault Firearm
16.0,2024-05-23,40.06956694,-75.01189556,Thefts
13.0,2024-07-17,40.03980158,-75.10905325,Thefts
20.0,2024-01-06,40.0688853,-75.00526196,Thefts
8.0,2024-01-26,39.96492732,-75.20446577,Thefts
4.0,2024-01-02,40.01804965,-75.14836192,Thefts
12.0,2024-06-24,40.0408649,-75.07510232,Thefts
20.0,2024-07-23,40.00608397,-75.2123169,Thefts
